OPUS ID,PDS ID,Filter [Cassini ISS],Observation Start Time (YMDhms),Observation Stop Time (YMDhms),Observation Duration (secs),Declination (Min) (degrees),Declination (Max) (degrees),Right Ascension (Min) (degrees),Right Ascension (Max) (degrees)
co-iss-n1711549502,N1711549502,CLEAR,2012-03-27T13:33:34.355,2012-03-27T13:33:38.155,3.8,-6.500963,-6.112154,9.118016,9.509234
co-iss-n1711549622,N1711549622,IR3,2012-03-27T13:34:30.158,2012-03-27T13:35:38.158,68,-6.501689,-6.1129,9.149801,9.540999
co-iss-n1711549692,N1711549692,IR1,2012-03-27T13:36:36.165,2012-03-27T13:36:48.165,12,-6.505054,-6.116294,9.180966,9.572139
co-iss-n1711549762,N1711549762,RED,2012-03-27T13:37:48.169,2012-03-27T13:37:58.169,10,-6.507107,-6.118348,9.203183,9.594356
co-iss-n1711549882,N1711549882,BL1,2012-03-27T13:39:02.172,2012-03-27T13:39:58.172,56,-6.508092,-6.119362,9.235375,9.626519
co-iss-n1711550772,N1711550772,CLEAR,2012-03-27T13:54:44.347,2012-03-27T13:54:48.147,3.8,-6.534536,-6.145958,9.508857,9.899867
co-iss-n1711550892,N1711550892,IR3,2012-03-27T13:55:40.150,2012-03-27T13:56:48.150,68,-6.534772,-6.146224,9.533552,9.924533
co-iss-n1711550962,N1711550962,IR1,2012-03-27T13:57:46.157,2012-03-27T13:57:58.157,12,-6.538329,-6.149786,9.560949,9.951928
co-iss-n1711551032,N1711551032,RED,2012-03-27T13:58:58.161,2012-03-27T13:59:08.161,10,-6.538163,-6.149621,9.581211,9.972189
co-iss-n1711551152,N1711551152,BL1,2012-03-27T14:00:12.164,2012-03-27T14:01:08.164,56,-6.540446,-6.151925,9.607683,9.998641
co-iss-n1711552042,N1711552042,CLEAR,2012-03-27T14:15:54.339,2012-03-27T14:15:58.139,3.8,-6.561562,-6.173175,9.828168,10.219007
co-iss-n1711552162,N1711552162,IR3,2012-03-27T14:16:50.142,2012-03-27T14:17:58.142,68,-6.562178,-6.173797,9.846019,10.236853
co-iss-n1711552232,N1711552232,IR1,2012-03-27T14:18:56.149,2012-03-27T14:19:08.149,12,-6.560937,-6.172574,9.869025,10.25984
co-iss-n1711552302,N1711552302,RED,2012-03-27T14:20:08.153,2012-03-27T14:20:18.153,10,-6.56382,-6.175463,9.885463,10.276274
co-iss-n1711552422,N1711552422,BL1,2012-03-27T14:21:22.156,2012-03-27T14:22:18.156,56,-6.565434,-6.177084,9.904157,10.294963
co-iss-n1711553312,N1711553312,CLEAR,2012-03-27T14:37:04.331,2012-03-27T14:37:08.131,3.8,-6.581629,-6.193396,10.075542,10.466242
co-iss-n1711553432,N1711553432,IR3,2012-03-27T14:38:00.134,2012-03-27T14:39:08.134,68,-6.581952,-6.193724,10.08953,10.480225
co-iss-n1711553502,N1711553502,IR1,2012-03-27T14:40:06.141,2012-03-27T14:40:18.141,12,-6.580549,-6.192336,10.105535,10.496214
co-iss-n1711553572,N1711553572,RED,2012-03-27T14:41:18.145,2012-03-27T14:41:28.145,10,-6.582717,-6.194497,10.114369,10.505057
co-iss-n1711553692,N1711553692,BL1,2012-03-27T14:42:32.148,2012-03-27T14:43:28.148,56,-6.581313,-6.193108,10.130375,10.521047
